SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,944 Dorchester Ave #10,Boston,MA,02125,610000,2,1.0,Dorchester's Savin Hill,1238,1238,1910,2,493,617,Active,March-8-2020 11:00 AM,March-8-2020 12:30 PM,http://www.redfin.com/MA/Boston/944-Dorchester-Ave-02125/unit-10/home/39913645,MLS PIN,72628585,N,Y,42.3185087,-71.0560755
MLS Listing,,Condo/Co-op,1 Avery St Unit 14A,Boston,MA,02111,1499000,2,2.5,Midtown,1488,1488,2000,3,1007,2071,Active,,,http://www.redfin.com/MA/Boston/1-Avery-St-02111/unit-14A/home/11511027,MLS PIN,72628257,N,Y,42.3534171,-71.06251
MLS Listing,,Condo/Co-op,106 13th St #317,Boston,MA,02129,619000,2,2.0,Charlestown's Navy Yard,1077,,1920,3,575,1022,Active,March-8-2020 01:00 PM,March-8-2020 02:30 PM,http://www.redfin.com/MA/Boston/106-13th-St-02129/unit-317/home/9051197,MLS PIN,72628095,N,Y,42.377706,-71.0505749
MLS Listing,,Condo/Co-op,496 Ashmont St #1,Boston,MA,02122,580000,2,1.5,Dorchester,1153,1153,1920,3,503,160,Active,March-8-2020 11:00 AM,March-8-2020 12:30 PM,http://www.redfin.com/MA/Boston/496-Ashmont-St-02122/unit-1/home/52878127,MLS PIN,72627835,N,Y,42.2891328,-71.0528777
MLS Listing,,Condo/Co-op,65 Glen Rd Unit H2,Brookline,MA,02445,609000,2,2.0,Brookline,1189,,1900,10,512,839,Active,March-8-2020 01:00 PM,March-8-2020 02:30 PM,http://www.redfin.com/MA/Brookline/65-Glen-Rd-02445/unit-H2/home/11489151,MLS PIN,72624367,N,Y,42.3269579,-71.1172823
MLS Listing,,Condo/Co-op,237 W 5Th St #1,Boston,MA,02127,699000,2,2.0,South Boston,817,817,1890,12,856,140,Active,March-8-2020 11:00 AM,March-8-2020 01:00 PM,http://www.redfin.com/MA/Boston/237-W-Fifth-St-02127/unit-1/home/12432197,MLS PIN,72623018,N,Y,42.3356698,-71.0501055
MLS Listing,,Condo/Co-op,59 Fleet St #5,Boston,MA,02109,795000,1,1.0,Waterfront,792,792,1900,17,1004,477,Active,March-8-2020 11:00 AM,March-8-2020 12:30 PM,http://www.redfin.com/MA/Boston/59-Fleet-St-02109/unit-5/home/9269712,MLS PIN,72621286,N,Y,42.3639789,-71.0513732
MLS Listing,,Condo/Co-op,156-160 Chelsea St #101,Boston,MA,02128,509000,1,2.0,East Boston,1377,1377,1945,24,370,461,Active,March-8-2020 01:00 PM,March-8-2020 02:30 PM,http://www.redfin.com/MA/Boston/156-Chelsea-St-02128/unit-101/home/21717224,MLS PIN,72618581,N,Y,42.3740594,-71.0341774
MLS Listing,,Condo/Co-op,650 Columbia Rd #1,Boston,MA,02125,430000,3,1.0,Dorchester's Uphams Corner,1297,,1907,29,332,200,Active,,,http://www.redfin.com/MA/Boston/650-Columbia-Rd-02125/unit-1/home/145353442,MLS PIN,72616901,N,Y,42.318819,-71.0637193
MLS Listing,,Condo/Co-op,380 Harrison Ave #1009,Boston,MA,02118,2215000,2,2.5,South End,1406,,2020,1,1575,1891,Active,,,http://www.redfin.com/MA/Boston/380-Harrison-Ave-02118/unit-1009/home/171034472,MLS PIN,72629960,N,Y,42.343914,-71.0635659
MLS Listing,,Condo/Co-op,111 Perkins St #236,Boston,MA,02130,899000,2,2.0,Jamaica Plain,1310,,1963,1,686,1451,Active,,,http://www.redfin.com/MA/Jamaica-Plain/111-Perkins-St-02130/unit-236/home/21772367,MLS PIN,72629867,N,Y,42.3222155,-71.1159742
MLS Listing,,Condo/Co-op,188 Brookline Ave Unit 23EG,Boston,MA,02215,3450000,3,3.0,The Fenway,1908,,2018,1,1808,2384,Active,,,http://www.redfin.com/MA/Boston/188-Brookline-Ave-02215/unit-23EG/home/169649295,MLS PIN,72629829,N,Y,42.3437734,-71.1017218
MLS Listing,,Condo/Co-op,100 Shawmut Ave #803,Boston,MA,02118,2767900,3,2.0,South End,1630,,2021,1,1698,1950,Active,,,http://www.redfin.com/MA/Boston/100-Shawmut-Ave-02118/unit-803/home/171033506,MLS PIN,72629827,N,Y,42.3466841,-71.0656551
